"Notes"	"County"	"County Code"	"Cause of death"	"Cause of death Code"	Deaths	Population	Crude Rate	Crude Rate Lower 95% Confidence Interval	Crude Rate Upper 95% Confidence Interval
	"Jackson County, MO"	"29095"	"Cardiomyopathy, unspecified"	"I42.9"	51	691801	7.4	5.5	9.7
	"Jackson County, MO"	"29095"	"Cardiac arrest, unspecified"	"I46.9"	13	691801	1.9 (Unreliable)	1.0	3.2
	"Jackson County, MO"	"29095"	"Atrial fibrillation and flutter"	"I48"	46	691801	6.6	4.9	8.9
	"Jackson County, MO"	"29095"	"Cardiac arrhythmia, unspecified"	"I49.9"	23	691801	3.3	2.1	5.0
	"Jackson County, MO"	"29095"	"Congestive heart failure"	"I50.0"	239	691801	34.5	30.2	38.9
	"Jackson County, MO"	"29095"	"Heart failure, unspecified"	"I50.9"	40	691801	5.8	4.1	7.9
	"Jackson County, MO"	"29095"	"Cardiovascular disease, unspecified"	"I51.6"	63	691801	9.1	7.0	11.7
	"Jackson County, MO"	"29095"	"Heart disease, unspecified"	"I51.9"	15	691801	2.2 (Unreliable)	1.2	3.6
	"Jasper County, MO"	"29097"	"Hypertensive heart disease with (congestive) heart failure"	"I11.0"	12	119111	10.1 (Unreliable)	5.2	17.6
	"Jasper County, MO"	"29097"	"Hypertensive heart disease without (congestive) heart failure"	"I11.9"	15	119111	12.6 (Unreliable)	7.0	20.8
	"Jasper County, MO"	"29097"	"Acute myocardial infarction, unspecified"	"I21.9"	134	119111	112.5	93.5	131.5
	"Jasper County, MO"	"29097"	"Atherosclerotic heart disease"	"I25.1"	39	119111	32.7	23.3	44.8
	"Jasper County, MO"	"29097"	"Chronic ischaemic heart disease, unspecified"	"I25.9"	17	119111	14.3 (Unreliable)	8.3	22.9
	"Jasper County, MO"	"29097"	"Pulmonary embolism without mention of acute cor pulmonale"	"I26.9"	27	119111	22.7	14.9	33.0
	"Jasper County, MO"	"29097"	"Congestive heart failure"	"I50.0"	39	119111	32.7	23.3	44.8
	"Jefferson County, MO"	"29099"	"Hypertensive heart disease without (congestive) heart failure"	"I11.9"	13	224226	5.8 (Unreliable)	3.1	9.9
	"Jefferson County, MO"	"29099"	"Acute myocardial infarction, unspecified"	"I21.9"	86	224226	38.4	30.7	47.4
	"Jefferson County, MO"	"29099"	"Atherosclerotic cardiovascular disease, so described"	"I25.0"	10	224226	4.5 (Unreliable)	2.1	8.2
	"Jefferson County, MO"	"29099"	"Atherosclerotic heart disease"	"I25.1"	177	224226	78.9	67.3	90.6
	"Jefferson County, MO"	"29099"	"Chronic ischaemic heart disease, unspecified"	"I25.9"	20	224226	8.9	5.4	13.8
	"Jefferson County, MO"	"29099"	"Aortic (valve) stenosis"	"I35.0"	10	224226	4.5 (Unreliable)	2.1	8.2
	"Jefferson County, MO"	"29099"	"Cardiac arrest, unspecified"	"I46.9"	11	224226	4.9 (Unreliable)	2.4	8.8
	"Jefferson County, MO"	"29099"	"Congestive heart failure"	"I50.0"	59	224226	26.3	20.0	33.9
	"Jefferson County, MO"	"29099"	"Heart failure, unspecified"	"I50.9"	12	224226	5.4 (Unreliable)	2.8	9.3
	"Johnson County, MO"	"29101"	"Acute myocardial infarction, unspecified"	"I21.9"	76	53942	140.9	111.0	176.3
	"Johnson County, MO"	"29101"	"Atherosclerotic heart disease"	"I25.1"	30	53942	55.6	37.5	79.4
	"Laclede County, MO"	"29105"	"Acute myocardial infarction, unspecified"	"I21.9"	11	35490	31.0 (Unreliable)	15.5	55.5
	"Laclede County, MO"	"29105"	"Atherosclerotic heart disease"	"I25.1"	35	35490	98.6	68.7	137.2
	"Laclede County, MO"	"29105"	"Congestive heart failure"	"I50.0"	12	35490	33.8 (Unreliable)	17.5	59.1
	"Lafayette County, MO"	"29107"	"Atherosclerotic heart disease"	"I25.1"	48	32618	147.2	108.5	195.1
	"Lafayette County, MO"	"29107"	"Congestive heart failure"	"I50.0"	13	32618	39.9 (Unreliable)	21.2	68.2
	"Lawrence County, MO"	"29109"	"Acute myocardial infarction, unspecified"	"I21.9"	29	38381	75.6	50.6	108.5
	"Lawrence County, MO"	"29109"	"Atherosclerotic heart disease"	"I25.1"	22	38381	57.3	35.9	86.8
	"Lawrence County, MO"	"29109"	"Congestive heart failure"	"I50.0"	24	38381	62.5	40.1	93.0
	"Lewis County, MO"	"29111"	"Atherosclerotic heart disease"	"I25.1"	11	10134	108.5 (Unreliable)	54.2	194.2
	"Lincoln County, MO"	"29113"	"Acute myocardial infarction, unspecified"	"I21.9"	53	55267	95.9	71.8	125.4
	"Lincoln County, MO"	"29113"	"Atherosclerotic heart disease"	"I25.1"	16	55267	29.0 (Unreliable)	16.5	47.0
	"Lincoln County, MO"	"29113"	"Congestive heart failure"	"I50.0"	14	55267	25.3 (Unreliable)	13.8	42.5
	"Linn County, MO"	"29115"	"Acute myocardial infarction, unspecified"	"I21.9"	27	12164	222.0	146.3	323.0
	"Livingston County, MO"	"29117"	"Acute myocardial infarction, unspecified"	"I21.9"	11	15235	72.2 (Unreliable)	36.0	129.2
	"Livingston County, MO"	"29117"	"Atherosclerotic heart disease"	"I25.1"	10	15235	65.6 (Unreliable)	31.5	120.7
	"McDonald County, MO"	"29119"	"Acute myocardial infarction, unspecified"	"I21.9"	30	22620	132.6	89.5	189.3
	"McDonald County, MO"	"29119"	"Congestive heart failure"	"I50.0"	10	22620	44.2 (Unreliable)	21.2	81.3
	"Macon County, MO"	"29121"	"Acute myocardial infarction, unspecified"	"I21.9"	21	15170	138.4	85.7	211.6
	"Macon County, MO"	"29121"	"Congestive heart failure"	"I50.0"	12	15170	79.1 (Unreliable)	40.9	138.2
	"Madison County, MO"	"29123"	"Acute myocardial infarction, unspecified"	"I21.9"	12	12443	96.4 (Unreliable)	49.8	168.5
	"Madison County, MO"	"29123"	"Atherosclerotic heart disease"	"I25.1"	14	12443	112.5 (Unreliable)	61.5	188.8
	"Maries County, MO"	"29125"	"Cardiac arrhythmia, unspecified"	"I49.9"	16	8858	180.6 (Unreliable)	103.2	293.3
	"Marion County, MO"	"29127"	"Acute myocardial infarction, unspecified"	"I21.9"	20	28894	69.2	42.3	106.9
	"Marion County, MO"	"29127"	"Atherosclerotic heart disease"	"I25.1"	10	28894	34.6 (Unreliable)	16.6	63.6
	"Marion County, MO"	"29127"	"Cardiac arrhythmia, unspecified"	"I49.9"	21	28894	72.7	45.0	111.1
	"Miller County, MO"	"29131"	"Acute myocardial infarction, unspecified"	"I21.9"	12	25206	47.6 (Unreliable)	24.6	83.2
	"Miller County, MO"	"29131"	"Atherosclerotic heart disease"	"I25.1"	16	25206	63.5 (Unreliable)	36.3	103.1
	"Miller County, MO"	"29131"	"Cardiac arrhythmia, unspecified"	"I49.9"	12	25206	47.6 (Unreliable)	24.6	83.2
	"Mississippi County, MO"	"29133"	"Acute myocardial infarction, unspecified"	"I21.9"	27	13799	195.7	128.9	284.7
	"Moniteau County, MO"	"29135"	"Acute myocardial infarction, unspecified"	"I21.9"	11	16018	68.7 (Unreliable)	34.3	122.9
	"Moniteau County, MO"	"29135"	"Atherosclerotic heart disease"	"I25.1"	12	16018	74.9 (Unreliable)	38.7	130.9
	"Montgomery County, MO"	"29139"	"Acute myocardial infarction, unspecified"	"I21.9"	29	11620	249.6	167.1	358.4
	"Morgan County, MO"	"29141"	"Acute myocardial infarction, unspecified"	"I21.9"	43	20213	212.7	154.0	286.6
	"Morgan County, MO"	"29141"	"Atherosclerotic heart disease"	"I25.1"	15	20213	74.2 (Unreliable)	41.5	122.4
	"New Madrid County, MO"	"29143"	"Acute myocardial infarction, unspecified"	"I21.9"	13	17915	72.6 (Unreliable)	38.6	124.1
	"New Madrid County, MO"	"29143"	"Congestive heart failure"	"I50.0"	14	17915	78.1 (Unreliable)	42.7	131.1
	"Newton County, MO"	"29145"	"Acute myocardial infarction, unspecified"	"I21.9"	81	58694	138.0	109.6	171.5
	"Newton County, MO"	"29145"	"Atherosclerotic heart disease"	"I25.1"	11	58694	18.7 (Unreliable)	9.4	33.5
	"Newton County, MO"	"29145"	"Congestive heart failure"	"I50.0"	15	58694	25.6 (Unreliable)	14.3	42.2
	"Nodaway County, MO"	"29147"	"Acute myocardial infarction, unspecified"	"I21.9"	13	22670	57.3 (Unreliable)	30.5	98.1
	"Nodaway County, MO"	"29147"	"Atherosclerotic heart disease"	"I25.1"	15	22670	66.2 (Unreliable)	37.0	109.1
	"Oregon County, MO"	"29149"	"Congestive heart failure"	"I50.0"	31	10789	287.3	195.2	407.8
	"Osage County, MO"	"29151"	"Acute myocardial infarction, unspecified"	"I21.9"	10	13664	73.2 (Unreliable)	35.1	134.6
	"Ozark County, MO"	"29153"	"Acute myocardial infarction, unspecified"	"I21.9"	18	9237	194.9 (Unreliable)	115.5	308.0
	"Pemiscot County, MO"	"29155"	"Acute myocardial infarction, unspecified"	"I21.9"	47	17073	275.3	202.3	366.1
	"Perry County, MO"	"29157"	"Acute myocardial infarction, unspecified"	"I21.9"	12	19285	62.2 (Unreliable)	32.2	108.7
	"Perry County, MO"	"29157"	"Atherosclerotic heart disease"	"I25.1"	18	19285	93.3 (Unreliable)	55.3	147.5
	"Pettis County, MO"	"29159"	"Acute myocardial infarction, unspecified"	"I21.9"	17	42213	40.3 (Unreliable)	23.5	64.5
	"Pettis County, MO"	"29159"	"Atherosclerotic heart disease"	"I25.1"	17	42213	40.3 (Unreliable)	23.5	64.5
	"Pettis County, MO"	"29159"	"Sudden cardiac death, so described"	"I46.1"	19	42213	45.0 (Unreliable)	27.1	70.3
	"Phelps County, MO"	"29161"	"Acute myocardial infarction, unspecified"	"I21.9"	46	44608	103.1	75.5	137.5
	"Phelps County, MO"	"29161"	"Atherosclerotic heart disease"	"I25.1"	16	44608	35.9 (Unreliable)	20.5	58.2
	"Pike County, MO"	"29163"	"Atherosclerotic heart disease"	"I25.1"	18	18438	97.6 (Unreliable)	57.9	154.3
	"Pike County, MO"	"29163"	"Congestive heart failure"	"I50.0"	13	18438	70.5 (Unreliable)	37.5	120.6
	"Platte County, MO"	"29165"	"Acute myocardial infarction, unspecified"	"I21.9"	16	98309	16.3 (Unreliable)	9.3	26.4
	"Platte County, MO"	"29165"	"Atherosclerotic cardiovascular disease, so described"	"I25.0"	10	98309	10.2 (Unreliable)	4.9	18.7
	"Platte County, MO"	"29165"	"Atherosclerotic heart disease"	"I25.1"	32	98309	32.6	22.3	46.0
	"Platte County, MO"	"29165"	"Congestive heart failure"	"I50.0"	22	98309	22.4	14.0	33.9
	"Polk County, MO"	"29167"	"Acute myocardial infarction, unspecified"	"I21.9"	33	31285	105.5	72.6	148.1
	"Polk County, MO"	"29167"	"Congestive heart failure"	"I50.0"	13	31285	41.6 (Unreliable)	22.1	71.1
	"Pulaski County, MO"	"29169"	"Atherosclerotic heart disease"	"I25.1"	20	52654	38.0	23.2	58.7
	"Pulaski County, MO"	"29169"	"Congestive heart failure"	"I50.0"	13	52654	24.7 (Unreliable)	13.1	42.2
	"Randolph County, MO"	"29175"	"Atherosclerotic heart disease"	"I25.1"	13	24989	52.0 (Unreliable)	27.7	89.0
	"Randolph County, MO"	"29175"	"Sudden cardiac death, so described"	"I46.1"	12	24989	48.0 (Unreliable)	24.8	83.9
	"Randolph County, MO"	"29175"	"Congestive heart failure"	"I50.0"	13	24989	52.0 (Unreliable)	27.7	89.0
	"Ray County, MO"	"29177"	"Atherosclerotic heart disease"	"I25.1"	10	22754	43.9 (Unreliable)	21.1	80.8
	"Ray County, MO"	"29177"	"Congestive heart failure"	"I50.0"	22	22754	96.7	60.6	146.4
	"Reynolds County, MO"	"29179"	"Acute myocardial infarction, unspecified"	"I21.9"	15	6455	232.4 (Unreliable)	130.1	383.3
	"Ripley County, MO"	"29181"	"Acute myocardial infarction, unspecified"	"I21.9"	24	13817	173.7	111.3	258.5
	"St. Charles County, MO"	"29183"	"Acute myocardial infarction, unspecified"	"I21.9"	115	390918	29.4	24.0	34.8
	"St. Charles County, MO"	"29183"	"Atherosclerotic cardiovascular disease, so described"	"I25.0"	16	390918	4.1 (Unreliable)	2.3	6.6
	"St. Charles County, MO"	"29183"	"Atherosclerotic heart disease"	"I25.1"	209	390918	53.5	46.2	60.7
	"St. Charles County, MO"	"29183"	"Ischaemic cardiomyopathy"	"I25.5"	16	390918	4.1 (Unreliable)	2.3	6.6
	"St. Charles County, MO"	"29183"	"Aortic (valve) stenosis"	"I35.0"	12	390918	3.1 (Unreliable)	1.6	5.4
	"St. Charles County, MO"	"29183"	"Endocarditis, valve unspecified"	"I38"	10	390918	2.6 (Unreliable)	1.2	4.7
	"St. Charles County, MO"	"29183"	"Cardiomyopathy, unspecified"	"I42.9"	17	390918	4.3 (Unreliable)	2.5	7.0
	"St. Charles County, MO"	"29183"	"Atrial fibrillation and flutter"	"I48"	29	390918	7.4	5.0	10.7
	"St. Charles County, MO"	"29183"	"Congestive heart failure"	"I50.0"	108	390918	27.6	22.4	32.8
	"St. Charles County, MO"	"29183"	"Cardiovascular disease, unspecified"	"I51.6"	36	390918	9.2	6.4	12.7
	"St. Clair County, MO"	"29185"	"Acute myocardial infarction, unspecified"	"I21.9"	28	9272	302.0	200.7	436.5
	"Ste. Genevieve County, MO"	"29186"	"Acute myocardial infarction, unspecified"	"I21.9"	13	18030	72.1 (Unreliable)	38.4	123.3
	"St. Francois County, MO"	"29187"	"Acute myocardial infarction, unspecified"	"I21.9"	43	66627	64.5	46.7	86.9
	"St. Francois County, MO"	"29187"	"Atherosclerotic heart disease"	"I25.1"	48	66627	72.0	53.1	95.5
	"St. Francois County, MO"	"29187"	"Atrial fibrillation and flutter"	"I48"	10	66627	15.0 (Unreliable)	7.2	27.6
	"St. Francois County, MO"	"29187"	"Congestive heart failure"	"I50.0"	30	66627	45.0	30.4	64.3
	"St. Louis County, MO"	"29189"	"Hypertensive heart disease with (congestive) heart failure"	"I11.0"	30	998581	3.0	2.0	4.3
	"St. Louis County, MO"	"29189"	"Hypertensive heart disease without (congestive) heart failure"	"I11.9"	50	998581	5.0	3.7	6.6
	"St. Louis County, MO"	"29189"	"Acute myocardial infarction, unspecified"	"I21.9"	609	998581	61.0	56.1	65.8
	"St. Louis County, MO"	"29189"	"Acute ischaemic heart disease, unspecified"	"I24.9"	10	998581	1.0 (Unreliable)	0.5	1.8
	"St. Louis County, MO"	"29189"	"Atherosclerotic cardiovascular disease, so described"	"I25.0"	42	998581	4.2	3.0	5.7
	"St. Louis County, MO"	"29189"	"Atherosclerotic heart disease"	"I25.1"	816	998581	81.7	76.1	87.3
	"St. Louis County, MO"	"29189"	"Ischaemic cardiomyopathy"	"I25.5"	46	998581	4.6	3.4	6.1
	"St. Louis County, MO"	"29189"	"Chronic ischaemic heart disease, unspecified"	"I25.9"	36	998581	3.6	2.5	5.0
	"St. Louis County, MO"	"29189"	"Pulmonary embolism without mention of acute cor pulmonale"	"I26.9"	27	998581	2.7	1.8	3.9
	"St. Louis County, MO"	"29189"	"Other secondary pulmonary hypertension"	"I27.2"	31	998581	3.1	2.1	4.4
	"St. Louis County, MO"	"29189"	"Mitral (valve) insufficiency"	"I34.0"	13	998581	1.3 (Unreliable)	0.7	2.2
	"St. Louis County, MO"	"29189"	"Aortic (valve) stenosis"	"I35.0"	72	998581	7.2	5.6	9.1
	"St. Louis County, MO"	"29189"	"Endocarditis, valve unspecified"	"I38"	14	998581	1.4 (Unreliable)	0.8	2.4
	"St. Louis County, MO"	"29189"	"Cardiomyopathy, unspecified"	"I42.9"	70	998581	7.0	5.5	8.9
	"St. Louis County, MO"	"29189"	"Cardiac arrest, unspecified"	"I46.9"	25	998581	2.5	1.6	3.7
	"St. Louis County, MO"	"29189"	"Atrial fibrillation and flutter"	"I48"	65	998581	6.5	5.0	8.3
	"St. Louis County, MO"	"29189"	"Cardiac arrhythmia, unspecified"	"I49.9"	13	998581	1.3 (Unreliable)	0.7	2.2
	"St. Louis County, MO"	"29189"	"Congestive heart failure"	"I50.0"	316	998581	31.6	28.2	35.1
	"St. Louis County, MO"	"29189"	"Heart failure, unspecified"	"I50.9"	47	998581	4.7	3.5	6.3
	"St. Louis County, MO"	"29189"	"Cardiovascular disease, unspecified"	"I51.6"	38	998581	3.8	2.7	5.2
	"St. Louis County, MO"	"29189"	"Heart disease, unspecified"	"I51.9"	20	998581	2.0	1.2	3.1
	"Saline County, MO"	"29195"	"Acute myocardial infarction, unspecified"	"I21.9"	15	22980	65.3 (Unreliable)	36.5	107.7
	"Scott County, MO"	"29201"	"Acute myocardial infarction, unspecified"	"I21.9"	40	38745	103.2	73.8	140.6
	"Scott County, MO"	"29201"	"Atherosclerotic heart disease"	"I25.1"	20	38745	51.6	31.5	79.7
	"Shannon County, MO"	"29203"	"Acute myocardial infarction, unspecified"	"I21.9"	13	8168	159.2 (Unreliable)	84.7	272.2
	"Stoddard County, MO"	"29207"	"Acute myocardial infarction, unspecified"	"I21.9"	23	29588	77.7	49.3	116.6
	"Stoddard County, MO"	"29207"	"Atherosclerotic heart disease"	"I25.1"	12	29588	40.6 (Unreliable)	21.0	70.8
	"Stoddard County, MO"	"29207"	"Cardiac arrest, unspecified"	"I46.9"	21	29588	71.0	43.9	108.5
	"Stoddard County, MO"	"29207"	"Congestive heart failure"	"I50.0"	19	29588	64.2 (Unreliable)	38.7	100.3
	"Stone County, MO"	"29209"	"Acute myocardial infarction, unspecified"	"I21.9"	40	31047	128.8	92.0	175.4
	"Stone County, MO"	"29209"	"Atherosclerotic heart disease"	"I25.1"	37	31047	119.2	83.9	164.3
	"Stone County, MO"	"29209"	"Congestive heart failure"	"I50.0"	11	31047	35.4 (Unreliable)	17.7	63.4
	"Taney County, MO"	"29213"	"Acute myocardial infarction, unspecified"	"I21.9"	19	54735	34.7 (Unreliable)	20.9	54.2
	"Taney County, MO"	"29213"	"Atherosclerotic heart disease"	"I25.1"	57	54735	104.1	78.9	134.9
	"Taney County, MO"	"29213"	"Cardiac arrest, unspecified"	"I46.9"	11	54735	20.1 (Unreliable)	10.0	36.0
	"Taney County, MO"	"29213"	"Cardiac arrhythmia, unspecified"	"I49.9"	76	54735	138.9	109.4	173.8
	"Taney County, MO"	"29213"	"Congestive heart failure"	"I50.0"	11	54735	20.1 (Unreliable)	10.0	36.0
	"Texas County, MO"	"29215"	"Acute myocardial infarction, unspecified"	"I21.9"	26	25775	100.9	65.9	147.8
	"Texas County, MO"	"29215"	"Atherosclerotic heart disease"	"I25.1"	10	25775	38.8 (Unreliable)	18.6	71.3
	"Texas County, MO"	"29215"	"Congestive heart failure"	"I50.0"	15	25775	58.2 (Unreliable)	32.6	96.0
	"Vernon County, MO"	"29217"	"Acute myocardial infarction, unspecified"	"I21.9"	16	20723	77.2 (Unreliable)	44.1	125.4
	"Vernon County, MO"	"29217"	"Acute ischaemic heart disease, unspecified"	"I24.9"	14	20723	67.6 (Unreliable)	36.9	113.4
	"Vernon County, MO"	"29217"	"Atherosclerotic heart disease"	"I25.1"	11	20723	53.1 (Unreliable)	26.5	95.0
	"Warren County, MO"	"29219"	"Acute myocardial infarction, unspecified"	"I21.9"	21	33802	62.1	38.5	95.0
	"Warren County, MO"	"29219"	"Atherosclerotic cardiovascular disease, so described"	"I25.0"	14	33802	41.4 (Unreliable)	22.6	69.5
	"Warren County, MO"	"29219"	"Atherosclerotic heart disease"	"I25.1"	14	33802	41.4 (Unreliable)	22.6	69.5
	"Warren County, MO"	"29219"	"Congestive heart failure"	"I50.0"	13	33802	38.5 (Unreliable)	20.5	65.8
	"Washington County, MO"	"29221"	"Hypertensive heart disease without (congestive) heart failure"	"I11.9"	11	24839	44.3 (Unreliable)	22.1	79.2
	"Washington County, MO"	"29221"	"Acute myocardial infarction, unspecified"	"I21.9"	41	24839	165.1	118.5	223.9
	"Washington County, MO"	"29221"	"Atherosclerotic cardiovascular disease, so described"	"I25.0"	18	24839	72.5 (Unreliable)	42.9	114.5
	"Washington County, MO"	"29221"	"Atherosclerotic heart disease"	"I25.1"	15	24839	60.4 (Unreliable)	33.8	99.6
	"Washington County, MO"	"29221"	"Congestive heart failure"	"I50.0"	12	24839	48.3 (Unreliable)	25.0	84.4
	"Wayne County, MO"	"29223"	"Acute myocardial infarction, unspecified"	"I21.9"	13	13139	98.9 (Unreliable)	52.7	169.2
	"Webster County, MO"	"29225"	"Acute myocardial infarction, unspecified"	"I21.9"	18	38106	47.2 (Unreliable)	28.0	74.7
	"Webster County, MO"	"29225"	"Congestive heart failure"	"I50.0"	13	38106	34.1 (Unreliable)	18.2	58.3
	"Wright County, MO"	"29229"	"Acute myocardial infarction, unspecified"	"I21.9"	14	18286	76.6 (Unreliable)	41.9	128.5
	"Wright County, MO"	"29229"	"Atherosclerotic heart disease"	"I25.1"	24	18286	131.2	84.1	195.3
	"Wright County, MO"	"29229"	"Congestive heart failure"	"I50.0"	13	18286	71.1 (Unreliable)	37.9	121.6
	"St. Louis city, MO"	"29510"	"Hypertensive heart disease without (congestive) heart failure"	"I11.9"	86	311404	27.6	22.1	34.1
	"St. Louis city, MO"	"29510"	"Acute myocardial infarction, unspecified"	"I21.9"	137	311404	44.0	36.6	51.4
	"St. Louis city, MO"	"29510"	"Atherosclerotic cardiovascular disease, so described"	"I25.0"	75	311404	24.1	18.9	30.2
	"St. Louis city, MO"	"29510"	"Atherosclerotic heart disease"	"I25.1"	196	311404	62.9	54.1	71.8
	"St. Louis city, MO"	"29510"	"Ischaemic cardiomyopathy"	"I25.5"	15	311404	4.8 (Unreliable)	2.7	7.9
	"St. Louis city, MO"	"29510"	"Chronic ischaemic heart disease, unspecified"	"I25.9"	23	311404	7.4	4.7	11.1
	"St. Louis city, MO"	"29510"	"Other secondary pulmonary hypertension"	"I27.2"	13	311404	4.2 (Unreliable)	2.2	7.1
	"St. Louis city, MO"	"29510"	"Cardiomyopathy, unspecified"	"I42.9"	19	311404	6.1 (Unreliable)	3.7	9.5
	"St. Louis city, MO"	"29510"	"Atrial fibrillation and flutter"	"I48"	18	311404	5.8 (Unreliable)	3.4	9.1
	"St. Louis city, MO"	"29510"	"Congestive heart failure"	"I50.0"	49	311404	15.7	11.6	20.8
	"St. Louis city, MO"	"29510"	"Heart failure, unspecified"	"I50.9"	20	311404	6.4	3.9	9.9
	"Broadwater County, MT"	"30007"	"Atherosclerotic cardiovascular disease, so described"	"I25.0"	13	5747	226.2 (Unreliable)	120.4	386.8
	"Cascade County, MT"	"30013"	"Acute myocardial infarction, unspecified"	"I21.9"	17	81755	20.8 (Unreliable)	12.1	33.3
	"Cascade County, MT"	"30013"	"Atherosclerotic cardiovascular disease, so described"	"I25.0"	26	81755	31.8	20.8	46.6
	"Cascade County, MT"	"30013"	"Atherosclerotic heart disease"	"I25.1"	41	81755	50.1	36.0	68.0
	"Cascade County, MT"	"30013"	"Ischaemic cardiomyopathy"	"I25.5"	17	81755	20.8 (Unreliable)	12.1	33.3
	"Cascade County, MT"	"30013"	"Atrial fibrillation and flutter"	"I48"	16	81755	19.6 (Unreliable)	11.2	31.8
	"Cascade County, MT"	"30013"	"Congestive heart failure"	"I50.0"	12	81755	14.7 (Unreliable)	7.6	25.6
	"Flathead County, MT"	"30029"	"Acute myocardial infarction, unspecified"	"I21.9"	12	98082	12.2 (Unreliable)	6.3	21.4
	"Flathead County, MT"	"30029"	"Atherosclerotic cardiovascular disease, so described"	"I25.0"	57	98082	58.1	44.0	75.3
	"Flathead County, MT"	"30029"	"Atherosclerotic heart disease"	"I25.1"	14	98082	14.3 (Unreliable)	7.8	23.9
	"Flathead County, MT"	"30029"	"Congestive heart failure"	"I50.0"	46	98082	46.9	34.3	62.6
	"Gallatin County, MT"	"30031"	"Atherosclerotic cardiovascular disease, so described"	"I25.0"	32	104502	30.6	20.9	43.2
	"Gallatin County, MT"	"30031"	"Atherosclerotic heart disease"	"I25.1"	17	104502	16.3 (Unreliable)	9.5	26.0
	"Gallatin County, MT"	"30031"	"Congestive heart failure"	"I50.0"	33	104502	31.6	21.7	44.3
	"Jefferson County, MT"	"30043"	"Atherosclerotic cardiovascular disease, so described"	"I25.0"	11	11853	92.8 (Unreliable)	46.3	166.1
	"Lake County, MT"	"30047"	"Acute myocardial infarction, unspecified"	"I21.9"	16	29758	53.8 (Unreliable)	30.7	87.3
	"Lake County, MT"	"30047"	"Atherosclerotic cardiovascular disease, so described"	"I25.0"	10	29758	33.6 (Unreliable)	16.1	61.8
	"Lake County, MT"	"30047"	"Atherosclerotic heart disease"	"I25.1"	11	29758	37.0 (Unreliable)	18.5	66.1
	"Lake County, MT"	"30047"	"Congestive heart failure"	"I50.0"	12	29758	40.3 (Unreliable)	20.8	70.4
	"Lewis and Clark County, MT"	"30049"	"Acute myocardial infarction, unspecified"	"I21.9"	29	67282	43.1	28.9	61.9
	"Lewis and Clark County, MT"	"30049"	"Atherosclerotic cardiovascular disease, so described"	"I25.0"	13	67282	19.3 (Unreliable)	10.3	33.0
	"Lewis and Clark County, MT"	"30049"	"Atherosclerotic heart disease"	"I25.1"	18	67282	26.8 (Unreliable)	15.9	42.3
	"Lewis and Clark County, MT"	"30049"	"Aortic (valve) stenosis"	"I35.0"	10	67282	14.9 (Unreliable)	7.1	27.3
	"Lewis and Clark County, MT"	"30049"	"Congestive heart failure"	"I50.0"	13	67282	19.3 (Unreliable)	10.3	33.0
	"Lincoln County, MT"	"30053"	"Atherosclerotic cardiovascular disease, so described"	"I25.0"	37	19259	192.1	135.3	264.8
	"Missoula County, MT"	"30063"	"Hypertensive heart disease with (congestive) heart failure"	"I11.0"	10	116130	8.6 (Unreliable)	4.1	15.8
	"Missoula County, MT"	"30063"	"Atherosclerotic cardiovascular disease, so described"	"I25.0"	54	116130	46.5	34.9	60.7
	"Missoula County, MT"	"30063"	"Atherosclerotic heart disease"	"I25.1"	40	116130	34.4	24.6	46.9
	"Missoula County, MT"	"30063"	"Atrial fibrillation and flutter"	"I48"	10	116130	8.6 (Unreliable)	4.1	15.8
	"Missoula County, MT"	"30063"	"Congestive heart failure"	"I50.0"	31	116130	26.7	18.1	37.9
	"Park County, MT"	"30067"	"Atherosclerotic heart disease"	"I25.1"	10	16114	62.1 (Unreliable)	29.8	114.1
	"Ravalli County, MT"	"30081"	"Atherosclerotic cardiovascular disease, so described"	"I25.0"	13	42088	30.9 (Unreliable)	16.4	52.8
	"Ravalli County, MT"	"30081"	"Atherosclerotic heart disease"	"I25.1"	15	42088	35.6 (Unreliable)	19.9	58.8
	"Ravalli County, MT"	"30081"	"Congestive heart failure"	"I50.0"	20	42088	47.5	29.0	73.4
	"Sanders County, MT"	"30089"	"Atherosclerotic cardiovascular disease, so described"	"I25.0"	25	11534	216.8	140.3	320.0
	"Silver Bow County, MT"	"30093"	"Atherosclerotic cardiovascular disease, so described"	"I25.0"	28	34553	81.0	53.8	117.1
	"Silver Bow County, MT"	"30093"	"Atherosclerotic heart disease"	"I25.1"	12	34553	34.7 (Unreliable)	17.9	60.7
	"Silver Bow County, MT"	"30093"	"Congestive heart failure"	"I50.0"	14	34553	40.5 (Unreliable)	22.2	68.0
	"Teton County, MT"	"30099"	"Atherosclerotic cardiovascular disease, so described"	"I25.0"	13	6056	214.7 (Unreliable)	114.3	367.1
	"Valley County, MT"	"30105"	"Atherosclerotic cardiovascular disease, so described"	"I25.0"	17	7539	225.5 (Unreliable)	131.4	361.0
	"Yellowstone County, MT"	"30111"	"Hypertensive heart disease with (congestive) heart failure"	"I11.0"	15	158437	9.5 (Unreliable)	5.3	15.6
	"Yellowstone County, MT"	"30111"	"Hypertensive heart disease without (congestive) heart failure"	"I11.9"	21	158437	13.3	8.2	20.3
	"Yellowstone County, MT"	"30111"	"Acute myocardial infarction, unspecified"	"I21.9"	48	158437	30.3	22.3	40.2
